,Date,HHState,Zipcode,Sex,Age,HHsize,Kids,Auto_own,Married,Educ,HType,Worker,commute_before,commute_after,Transmode_before,Change_trans_mode,Transmode_after,Commute_min,PhyAc_Before,Exe_Before,PhyAc_After,Exe_After,Groc_Shp,Outside_Ac,Outside_Purp,ONL_SHP,ONL_SHP_AFTR
87,5/26/2020,DE,19711,Female,48,3.0,1.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Walk,NA,NA/Teleworked,15.0,30-60 min,None,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,None,,No,Not Applicable
88,5/20/2020,FL,34236,Female,57,1.0,0.0,1.0,Married,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,No,NA/Teleworked,10.0,60+ min,5+ times/week,None,30+ min/3-5days/wk,4+ times/Mth,None,,No,Not Applicable
89,5/20/2020,FL,34236,Female,57,1.0,0.0,1.0,Married,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,No,NA/Teleworked,10.0,60+ min,5+ times/week,None,30+ min/3-5days/wk,4+ times/Mth,None,,No,Not Applicable
90,6/26/2020,FL,34236,Female,57,1.0,0.0,1.0,Married,4,Condo/Townhouse,Employed Full Time,-8,Switched to work from home without change in the workload,Auto/driving,No,NA/Teleworked,10.0,60+ min,5+ times/week,None,30+ min/3-5days/wk,4+ times/Mth,None,,No,Not Applicable
91,4/11/2020,MD,20814,Female,36,6.0,4.0,2.0,Married,4,Apartment,Employed Full Time,Commute Everyday,Stayed at home and not able to work,Auto/driving,NA,Other,60.0,0-15 min,None,None,30+ min/3-5days/wk,4+ times/Mth,None,,No,Maybe
92,6/24/2020,TX,77840,Male,25,3.0,0.0,0.0,Single,4,Apartment,Employed Part Time,Partial Commute/teleworked,Switched to work from home without change in the workload,Public Transit,No,NA/Teleworked,60.0,60+ min,5+ times/week,3-4 times/week,30+ min/3-5days/wk,4+ times/Mth,Once,Moving,Yes,Yes
93,5/27/2020,NC,27615,Female,54,4.0,0.0,4.0,Married,3,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,15.0,30-60 min,3-4 times/week,1-2 times/week,30+ min/3-5days/wk,4+ times/Mth,Twice,visit friends,No,Not Applicable
94,5/26/2020,MA,2148,Male,33,2.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Public Transit,NA,NA/Teleworked,35.0,60+ min,3-4 times/week,1-2 times/week,30+ min/3-5days/wk,4+ times/Mth,Twice,"Visit family, leisure bike ride",No,Not Applicable
95,5/25/2020,CA,90038,Female,40,2.0,0.0,1.0,Married,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Bike/Bikeshare,NA,NA/Teleworked,50.0,15-30 min,3-4 times/week,3-4 times/week,30+ min/3-5days/wk,4+ times/Mth,Twice,Take care of elderly parents,Yes,Yes
96,5/27/2020,FL ,32714,Female,46,4.0,1.0,4.0,Married,4,Single-Family House,Employed Full Time,Partial Commute/teleworked,Switched to partial commute to work/tele-work,Auto/driving,No,NA/Teleworked,,30-60 min,5+ times/week,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,Twice,Check on family,Yes,Yes
97,4/13/2020,CA,92109,Female,29,1.0,0.0,1.0,Single,4,Apartment,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,60.0,30-60 min,3-4 times/week,5+ times/week,30+ min/3-5days/wk,None- All Online,3+,Visiting friends,Yes,Maybe
98,5/26/2020,CA,94123,Male,29,2.0,0.0,3.0,Single,4,Apartment,Employed Full Time,Commute Everyday,Switched to work from home with increased workload,Auto/driving,No,NA/Teleworked,15.0,30-60 min,5+ times/week,5+ times/week,30+ min/3-5days/wk,None- All Online,3+,Change of scenery,Yes,Yes
99,5/25/2020,FL ,34695,Female,58,1.0,0.0,1.0,Divorced/Seperated,3,Single-Family House,Employed Full Time,Tele-Worked Every Day,Did not change/still tele-work,-8,No,NA/Teleworked,0.0,60+ min,5+ times/week,5+ times/week,30+ min/3-5days/wk,None- All Online,3+,Visit friends to sit outside ,Yes,Yes
100,5/19/2020,NJ,8844,Female,53,3.0,1.0,2.0,Married,4,Single-Family House,Employed Full Time,Partial Commute/teleworked,Switched to work from home with increased workload,Auto/driving,NA,NA/Teleworked,40.0,60+ min,3-4 times/week,5+ times/week,30+ min/3-5days/wk,None- All Online,None,,Yes,Yes
101,5/28/2020,MD,21202,Male,70,1.0,0.0,0.0,Divorced/Seperated,4,Condo/Townhouse,Retired,-8,-8,Walk,NA,NA/Teleworked,0.0,30-60 min,5+ times/week,5+ times/week,30+ min/3-5days/wk,None- All Online,None,"This answer is related to how often I left my home for shopping, not the previous question. I selected none which is correct but the reason is incorrect. I did not do online shopping (though I tried.) Instead I had, and continue to have, a young, healthy neighbor shop for me.",Yes,No
102,4/12/2020,WA,98103,Male,30,3.0,0.0,1.0,Single,4,Condo/Townhouse,Employed Full Time,Partial Commute/teleworked,Switched to work from home with increased workload,Walk,NA,NA/Teleworked,15.0,30-60 min,5+ times/week,5+ times/week,30+ min/3-5days/wk,None- All Online,None,,Yes,Yes
103,5/12/2020,TN,38114,Female,58,2.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Tele-Worked Every Day,Did not change/still tele-work,-8,NA,NA/Teleworked,0.0,60+ min,5+ times/week,5+ times/week,30+ min/3-5days/wk,None- All Online,None,,Yes,Yes
104,4/11/2020,MD,20740,Male,23,5.0,0.0,0.0,Single,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home with increased workload,Walk,NA,NA/Teleworked,15.0,60+ min,3-4 times/week,None,30+ min/3-5days/wk,None- All Online,None,,Yes,Maybe
105,5/28/2020,MD,20852,Female,43,1.0,0.0,1.0,Single,4,Apartment,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,20.0,60+ min,5+ times/week,None,30+ min/3-5days/wk,None- All Online,None,,Yes,Yes
106,5/12/2020,NH,3280,Female,71,1.0,0.0,1.0,Single,4,Single-Family House,Employed Full Time,Tele-Worked Every Day,Did not change/still tele-work,Walk,No,NA/Teleworked,1.0,30-60 min,5+ times/week,5+ times/week,30+ min/3-5days/wk,None- All Online,Once,post-operative checkup for minor surgery,Yes,Yes
107,5/26/2020,IL,60616,Female,60,2.0,0.0,0.0,Married,4,Apartment,Employed Full Time,Partial Commute/teleworked,Switched to work from home with increased workload,Public Transit,Yes,Walk,20.0,30-60 min,3-4 times/week,3-4 times/week,30+ min/3-5days/wk,None- All Online,Twice,Pharmacy,Yes,Yes
108,5/20/2020,MI,48092,Female,56,4.0,3.0,3.0,Married,4,Single-Family House,Employed Full Time,-8,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,60.0,30-60 min,5+ times/week,5+ times/week,30+ min/3-5days/wk,None- All Online,Twice,pick up prescriptions,Yes,Yes
109,4/24/2020,WA,98133,Female,44,4.0,2.0,2.0,Married,3,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,18.0,30-60 min,1-2 times/week,None,30+ min/3-5days/wk,None- All Online,Twice,"My husband & I also own are urban farmers and do weekly CSA doorstep deliveries. To note, he leaves everyday (M-F) and his workload has increased now that farmers markets are closed.",Yes,Yes
110,5/27/2020,CA,95661,Male,61,4.0,1.0,3.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Public Transit,NA,NA/Teleworked,35.0,60+ min,3-4 times/week,1-2 times/week,30+ min/3-5days/wk,Once/Mth,3+,hardware / auto parts / office supply store,No,Not Applicable
111,5/26/2020,MD,21842,Female,26,5.0,1.0,4.0,Single,4,Single-Family House,Employed Full Time,Partial Commute/teleworked,Switched to work from home with increased workload,Auto/driving,NA,NA/Teleworked,130.0,30-60 min,3-4 times/week,5+ times/week,30+ min/3-5days/wk,Once/Mth,None,,Yes,Maybe
112,5/20/2020,NY,10001,Female,78,2.0,0.0,0.0,Married,4,Condo/Townhouse,Retired,-8,Switched to work from home with reduced workload,Auto/Passenger,No,NA/Teleworked,0.0,60+ min,3-4 times/week,5+ times/week,30+ min/3-5days/wk,Once/Mth,None,,Yes,Maybe
113,4/18/2020,WA,98105,Male,40,4.0,2.0,0.0,Married,4,Apartment,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Public Transit,No,NA/Teleworked,30.0,60+ min,5+ times/week,5+ times/week,30+ min/3-5days/wk,Once/Mth,None,,Yes,Yes
114,4/18/2020,TX,77077,Female,48,3.0,0.0,3.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Public Transit,Yes,Auto/driving,50.0,30-60 min,3-4 times/week,5+ times/week,30+ min/3-5days/wk,Once/Mth,Twice,Take out ,Yes,No
115,5/21/2020,MI,48105,Female,28,1.0,0.0,1.0,Single,4,Apartment,Employed Full Time,Commute Everyday,Switched to partial commute to work/tele-work,Public Transit,Yes,Auto/driving,10.0,30-60 min,3-4 times/week,3-4 times/week,30+ min/3-5days/wk,Twice/Mth,3+,essential research activity,Yes,Maybe
116,5/12/2020,MA,2140,Male,43,2.0,0.0,0.0,Married,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Public Transit,NA,NA/Teleworked,30.0,30-60 min,3-4 times/week,3-4 times/week,30+ min/3-5days/wk,Twice/Mth,3+,visit family,Yes,No
117,5/26/2020,CO,80303,Male,33,3.0,1.0,2.0,Married,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home with increased workload,Public Transit,NA,NA/Teleworked,45.0,30-60 min,3-4 times/week,5+ times/week,30+ min/3-5days/wk,Twice/Mth,3+,"Recreation, restaurant curbside pickup, and seeing friends in backyards at a distance",No,Maybe
118,5/27/2020,FL ,32413,Male,53,2.0,0.0,2.0,Married,3,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,20.0,60+ min,3-4 times/week,5+ times/week,30+ min/3-5days/wk,Twice/Mth,3+,Non-grocery shopping. Eat out (recently),No,Not Applicable
119,5/19/2020,DC,20009,Female,28,1.0,0.0,1.0,Single,4,Condo/Townhouse,Employed Full Time,Partial Commute/teleworked,Did not change/still tele-work,Auto/driving,No,NA/Teleworked,40.0,60+ min,5+ times/week,5+ times/week,30+ min/3-5days/wk,Twice/Mth,3+,"work, walking the dog",Yes,No
120,5/12/2020,MI,48108,Female,60,3.0,0.0,3.0,Single,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,,30-60 min,5+ times/week,1-2 times/week,30+ min/3-5days/wk,Twice/Mth,None,,No,Not Applicable
121,5/12/2020,ME,4270,Other/Non-binary ,20,3.0,0.0,2.0,Single,2,Single-Family House,Employed Full Time,-8,Switched to work from home without change in the workload,Walk,NA,NA/Teleworked,10.0,30-60 min,1-2 times/week,3-4 times/week,30+ min/3-5days/wk,Twice/Mth,None,,No,No
122,5/12/2020,NY,10036,Female,23,3.0,0.0,0.0,Single,3,Apartment,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Public Transit,NA,Walk,35.0,30-60 min,5+ times/week,3-4 times/week,30+ min/3-5days/wk,Twice/Mth,None,,Yes,Yes
123,5/29/2020,DE,19711,Female,48,4.0,2.0,3.0,Married,3,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,30.0,30-60 min,3-4 times/week,5+ times/week,30+ min/3-5days/wk,Twice/Mth,None,,No,Not Applicable
124,5/26/2020,CO,80033,Male,28,2.0,0.0,2.0,Single,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Bike/Bikeshare,NA,NA/Teleworked,30.0,60+ min,5+ times/week,5+ times/week,30+ min/3-5days/wk,Twice/Mth,None,,No,No
125,5/28/2020,MD,21211,Female,32,3.0,0.0,2.0,Single,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to partial commute to work/tele-work,Bike/Bikeshare,No,NA/Teleworked,20.0,60+ min,5+ times/week,5+ times/week,30+ min/3-5days/wk,Twice/Mth,None,,No,Not Applicable
126,4/12/2020,MD,21286,Female,29,2.0,0.0,2.0,Married,4,Condo/Townhouse,Unemployed,-8,-8,Auto/driving,NA,NA/Teleworked,0.0,0-15 min,5+ times/week,1-2 times/week,30+ min/3-5days/wk,Twice/Mth,Once,,Yes,Yes
127,4/17/2020,WA,98103,Female,30,2.0,0.0,1.0,Married,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,15.0,60+ min,5+ times/week,1-2 times/week,30+ min/3-5days/wk,Twice/Mth,Once,Dropping something off ,No,Not Applicable
128,5/27/2020,ME,4011,Female,62,2.0,0.0,2.0,Married,4,Single-Family House,Employed Part Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,Auto/driving,45.0,30-60 min,3-4 times/week,3-4 times/week,30+ min/3-5days/wk,Twice/Mth,Once,injured pet,No,Maybe
129,5/26/2020,WI,53086,Female,35,4.0,1.0,3.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to partial commute to work/tele-work,Auto/driving,No,NA/Teleworked,35.0,15-30 min,5+ times/week,3-4 times/week,30+ min/3-5days/wk,Twice/Mth,Once,go to lake house up north,Yes,Maybe
130,5/12/2020,CA,95062,Female,48,3.0,1.0,5.0,Married,4,Single-Family House,Employed Full Time,Partial Commute/teleworked,Did not change/still tele-work,-8,NA,NA/Teleworked,0.0,15-30 min,1-2 times/week,5+ times/week,30+ min/3-5days/wk,Twice/Mth,Once,See family outside in their yard for Mother’s Day,No,Not Applicable
131,4/12/2020,VA,20165,Female,29,2.0,2.0,2.0,Married,4,Condo/Townhouse,Employed Full Time,Partial Commute/teleworked,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,35.0,30-60 min,1-2 times/week,3-4 times/week,30+ min/3-5days/wk,Twice/Mth,Twice,Home improvement ,No,Not Applicable
132,4/13/2020,MD,20817,Female,47,5.0,3.0,2.0,Married,3,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,5.0,30-60 min,5+ times/week,3-4 times/week,30+ min/3-5days/wk,Twice/Mth,Twice,personal reasons,Yes,Maybe
133,4/10/2020,MD,20814,Female,34,3.0,2.0,1.0,-8,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,60.0,0-15 min,None,3-4 times/week,30+ min/3-5days/wk,Twice/Mth,Twice,,No,Not Applicable
134,5/28/2020,MD,21211,Female,33,1.0,0.0,1.0,Single,4,Apartment,Employed Full Time,Commute Everyday,Switched to work from home with increased workload,Auto/driving,NA,NA/Teleworked,10.0,60+ min,1-2 times/week,5+ times/week,30+ min/3-5days/wk,Twice/Mth,Twice,,No,Maybe
135,5/27/2020,IA,50701,Female,44,2.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,13.0,30-60 min,5+ times/week,5+ times/week,30+ min/3-5days/wk,Twice/Mth,Twice,"ER for husband's broken thumb, ER for my (non-covid) pneumonia",Yes,Yes
136,5/26/2020,MA,1060,Male,42,2.0,0.0,1.0,Married,4,Condo/Townhouse,Employed Full Time,Tele-Worked Every Day,Did not change/still tele-work,-8,No,NA/Teleworked,0.0,30-60 min,5+ times/week,5+ times/week,30+ min/3-5days/wk,Twice/Mth,Twice,To go for hikes,-8,Not Applicable
137,6/27/2020,MD,20646,Female,52,4.0,1.0,3.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,15.0,30-60 min,1-2 times/week,1-2 times/week,30+ min/day,3 times/Mth,3+,Socializing with a small group At their home outside  ; short trip out of town to secluded beach;,Yes,Maybe
138,6/26/2020,MD,20646,Female,52,4.0,1.0,3.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,15.0,30-60 min,1-2 times/week,1-2 times/week,30+ min/day,3 times/Mth,3+,Socializing with a small group At their home outside  ; short trip out of town to secluded beach;,Yes,Maybe
139,5/18/2020,MD,21409,Female,29,2.0,0.0,2.0,Married,3,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,50.0,15-30 min,3-4 times/week,5+ times/week,30+ min/day,3 times/Mth,3+,sitting outside with a friend,No,No
140,5/28/2020,MA,2143,Male,31,1.0,0.0,0.0,Single,4,Apartment,Employed Part Time,Partial Commute/teleworked,Switched to work from home without change in the workload,Bike/Bikeshare,NA,NA/Teleworked,10.0,60+ min,5+ times/week,5+ times/week,30+ min/day,3 times/Mth,3+,"Socially distanced socializing, walks",Yes,Maybe
141,5/12/2020,MO,63501,Female,57,1.0,0.0,1.0,Single,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Walk,NA,NA/Teleworked,10.0,60+ min,5+ times/week,5+ times/week,30+ min/day,3 times/Mth,3+,"Getting things for work, dropping things off to people.",No,Not Applicable
142,5/21/2020,MA,2420,Male,75,2.0,0.0,3.0,Married,3,Single-Family House,Retired,-8,-8,Auto/driving,NA,NA/Teleworked,30.0,60+ min,5+ times/week,5+ times/week,30+ min/day,3 times/Mth,3+,"visiting family,  shopping. ",No,Not Applicable
143,5/15/2020,CA,94066,Female,25,4.0,0.0,2.0,Single,4,Single-Family House,Unemployed,Commute Everyday,Stayed at home and not able to work,Walk,NA,NA/Teleworked,26.0,30-60 min,1-2 times/week,1-2 times/week,30+ min/day,3 times/Mth,None,,No,No
144,4/10/2020,WA,98105,Female,37,4.0,2.0,1.0,Married,4,Apartment,Employed Full Time,Tele-Worked Every Day,Switched to work from home without change in the workload,Other,NA,NA/Teleworked,0.0,30-60 min,None,1-2 times/week,30+ min/day,3 times/Mth,None,,No,Not Applicable
145,5/27/2020,IL,60657,Female,51,3.0,1.0,1.0,Married,4,Multi-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Public Transit,NA,Bike/Bikeshare,40.0,30-60 min,1-2 times/week,3-4 times/week,30+ min/day,3 times/Mth,None,,No,No
146,5/26/2020,MI,48906,Male,40,4.0,2.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,7.0,30-60 min,3-4 times/week,3-4 times/week,30+ min/day,3 times/Mth,None,,No,No
147,5/12/2020,MA,1830,Female,50,4.0,1.0,3.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,45.0,30-60 min,3-4 times/week,5+ times/week,30+ min/day,3 times/Mth,None,,No,Not Applicable
148,4/14/2020,VA,22201,Male,27,1.0,0.0,1.0,Single,3,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,No,NA/Teleworked,20.0,15-30 min,3-4 times/week,5+ times/week,30+ min/day,3 times/Mth,Once,Picking up take out food,No,Not Applicable
149,5/12/2020,PA,18104,Female,49,4.0,2.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,5.0,15-30 min,3-4 times/week,5+ times/week,30+ min/day,3 times/Mth,Twice,I went to my workplace two times to retrieve teaching materials.,No,Not Applicable
150,5/19/2020,NJ,8902,Female,71,3.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,20.0,0-15 min,1-2 times/week,3-4 times/week,30+ min/day,4+ times/Mth,3+,Take 98yr old mom to walk in clinic,No,Not Applicable
151,4/22/2020,WA,98115,Male,42,4.0,2.0,3.0,Married,3,Single-Family House,Employed Full Time,Commute Everyday,Did not change/still commute,Auto/driving,No,NA/Teleworked,15.0,60+ min,1-2 times/week,3-4 times/week,30+ min/day,4+ times/Mth,3+,To go to work,Yes,Maybe
152,4/22/2020,WA,98115,Male,42,4.0,2.0,3.0,Married,3,Single-Family House,Employed Full Time,Commute Everyday,Did not change/still commute,Auto/driving,No,NA/Teleworked,15.0,60+ min,1-2 times/week,3-4 times/week,30+ min/day,4+ times/Mth,3+,To go to work,Yes,Maybe
153,6/28/2020,MD,20886,Male,52,6.0,2.0,2.0,Married,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,60.0,30-60 min,3-4 times/week,3-4 times/week,30+ min/day,4+ times/Mth,3+,Once a week we go to church.,No,Not Applicable
154,5/10/2020,MD,20720,Male,58,3.0,2.0,1.0,Divorced/Seperated,4,Single-Family House,Employed Full Time,Partial Commute/teleworked,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,,15-30 min,1-2 times/week,5+ times/week,30+ min/day,4+ times/Mth,3+,Visit a friend to check in on her,No,Not Applicable
155,5/26/2020,MD,20910,Male,41,4.0,2.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Public Transit,NA,NA/Teleworked,50.0,15-30 min,1-2 times/week,5+ times/week,30+ min/day,4+ times/Mth,3+,Home maintenance,No,Not Applicable
156,6/5/2020,MD,20817,Female,31,3.0,1.0,1.0,Married,4,Single-Family House,Employed Part Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,10.0,30-60 min,1-2 times/week,5+ times/week,30+ min/day,4+ times/Mth,3+,,Yes,No
157,6/26/2020,MD,20854,Female,57,3.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Tele-Worked Every Day,Switched to work from home without change in the workload,-8,No,NA/Teleworked,15.0,60+ min,1-2 times/week,5+ times/week,30+ min/day,4+ times/Mth,3+,"Doctor appointment, vet appointment, get meds , move son from NYC",Yes,No
158,4/20/2020,MD,20817,Female,62,2.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to partial commute to work/tele-work,Auto/driving,No,Auto/driving,20.0,30-60 min,3-4 times/week,5+ times/week,30+ min/day,4+ times/Mth,3+,"shopping, babysitting by granddaughter, shopping and cooking for aging parents",No,Not Applicable
159,4/22/2020,WA,98115,Male,39,5.0,3.0,2.0,-8,3,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Public Transit,NA,NA/Teleworked,20.0,30-60 min,5+ times/week,5+ times/week,30+ min/day,4+ times/Mth,3+,1. Dropping off and picking up children at child care that's not closed. 2. Picking up food from nearby restaurants. 3. Trip to hardware store.,No,No
160,5/26/2020,CA,91773,Male,65,3.0,0.0,3.0,Married,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Public Transit,Yes,Auto/driving,60.0,30-60 min,5+ times/week,5+ times/week,30+ min/day,4+ times/Mth,3+,,Yes,Yes
161,6/13/2020,CO,80301,Female,50,3.0,1.0,3.0,Married,4,Single-Family House,Employed Full Time,Partial Commute/teleworked,Switched to work from home without change in the workload,Other,No,Other,50.0,30-60 min,5+ times/week,5+ times/week,30+ min/day,4+ times/Mth,3+,Walk my dog,No,Not Applicable
162,5/8/2020,MD,20770,Male,26,5.0,0.0,5.0,Single,3,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Bike/Bikeshare,NA,NA/Teleworked,20.0,30-60 min,None,5+ times/week,30+ min/day,4+ times/Mth,3+,meetings with friends in public places at physical distance protocol,Yes,Maybe
163,4/12/2020,NJ,8540,Male,64,2.0,0.0,2.0,Married,4,Apartment,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Public Transit,No,NA/Teleworked,30.0,30-60 min,1-2 times/week,5+ times/week,30+ min/day,4+ times/Mth,None,,No,Not Applicable
164,6/13/2020,TN,37206,Female,44,5.0,3.0,3.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with increased workload,Auto/driving,NA,NA/Teleworked,15.0,30-60 min,5+ times/week,5+ times/week,30+ min/day,4+ times/Mth,None,,No,Not Applicable
165,5/26/2020,NV,89408,Female,70,2.0,0.0,3.0,Married,3,Single-Family House,Employed Part Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,45.0,0-15 min,None,None,30+ min/day,4+ times/Mth,None,I leave the house to food shop.  I use an exercise bike in my home every day.,No,No
166,4/12/2020,VA,22209,Male,35,3.0,0.0,2.0,Married,4,Apartment,Employed Full Time,Partial Commute/teleworked,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,30.0,30-60 min,1-2 times/week,1-2 times/week,30+ min/day,4+ times/Mth,Once,Go to work to pick up something,No,Not Applicable
167,5/26/2020,MI,48864,Male,63,4.0,0.0,3.0,Married,4,Single-Family House,Employed Full Time,Partial Commute/teleworked,Switched to partial commute to work/tele-work,Auto/driving,NA,NA/Teleworked,15.0,30-60 min,3-4 times/week,5+ times/week,30+ min/day,4+ times/Mth,Once,collect/move out daughter from college,No,Not Applicable
168,5/12/2020,MA,1541,Female,30,2.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,30.0,15-30 min,1-2 times/week,5+ times/week,30+ min/day,4+ times/Mth,Twice,"Went to my office once to pick up documents, went to my parents' to drop off flowers and talk to my mom from a distance on Mothers' Day",Yes,Maybe
169,5/29/2020,MD,21230,Male,79,2.0,0.0,1.0,Married,4,Condo/Townhouse,Retired,-8,-8,Auto/driving,NA,NA/Teleworked,0.0,30-60 min,1-2 times/week,5+ times/week,30+ min/day,4+ times/Mth,Twice,,No,Not Applicable
170,6/29/2020,DE,19702,Female,60,2.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with increased workload,Auto/driving,NA,NA/Teleworked,25.0,30-60 min,5+ times/week,5+ times/week,30+ min/day,4+ times/Mth,Twice,"visit friends ---
1. deliver masks 
2. Small party ---celebration of graduation ",No,Not Applicable
171,5/27/2020,OH,43221,Female,47,4.0,2.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,20.0,30-60 min,5+ times/week,5+ times/week,30+ min/day,4+ times/Mth,Twice,Travel to office,No,Not Applicable
172,5/12/2020,CA,0,Male,41,4.0,2.0,3.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,35.0,15-30 min,3-4 times/week,None,30+ min/day,4+ times/Mth,Twice,Social.,Yes,Yes
173,5/20/2020,VA,22102,Male,91,2.0,0.0,1.0,Married,4,Condo/Townhouse,Retired,-8,-8,Auto/driving,No,Auto/driving,60.0,15-30 min,5+ times/week,3-4 times/week,30+ min/day,None- All Online,3+,to meet my daughters,Yes,Maybe
174,6/29/2020,DE,19702,Female,28,2.0,0.0,2.0,Married,4,Condo/Townhouse,Employed Full Time,Tele-Worked Every Day,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,40.0,0-15 min,1-2 times/week,5+ times/week,30+ min/day,None- All Online,3+,Visiting family (dropping off food and supplies) ,Yes,Maybe
